TopN,Precision,dataset,objective,stage,complexity,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,random_state
300,0.07333333333333333,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,50,0.8,0.8,42
500,0.044,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,50,0.8,0.8,42
5,0.2,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
10,0.1,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
15,0.06666666666666667,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
20,0.15,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
50,0.12,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
75,0.12,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
100,0.11,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
125,0.104,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
300,0.07333333333333333,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
500,0.044,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,100,0.8,0.8,42
5,0.2,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
10,0.1,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
15,0.13333333333333333,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
20,0.1,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
50,0.12,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
75,0.12,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
100,0.11,5_sources_trial_1,reg:squarederror-stage1,stage1,5_sources,4,0.1,200,0.8,0.8,42
